time,x,y,z,u_nom_x,u_nom_y,u_nom_z,u_safe_x,u_safe_y,u_safe_z,active_index,poisson_h,pivot_value,reachable_count,V1,V2,V3,V4,poisson_residual,active_hj_residual,omega_active,omega_contingency,qp_solve_ms,qp_success
5.76,9.108229073987161,7.056823339215593,6.578812675820215,1.4673811305589144,0.7315894412943378,-0.44896492854819,1.4673811305589144,0.7315894412943378,-0.44896492854819,0,0.5179232490957939,15.06668991939196,4,13.626933752808297,14.26160490050449,15.06668991939196,16.09988552794738,0.5577748309136749,49.15872114791336,0.0,0.0,0.2597089987830259,1
5.88,9.28431480965423,7.1446140721709135,6.524936884394433,1.4583324117939045,0.7270780386547235,-0.4461963517352677,1.4583324117939045,0.7270780386547235,-0.4461963517352677,0,0.499435148238802,15.272842344290662,4,13.854416326414768,14.430719109384716,15.272842344290662,16.25360836700178,0.47415416237383445,49.11768116169,0.0,0.0,0.26816900208359584,1
6.0,9.459314699069498,7.231863436809481,6.4713933221862,1.3095825057909265,0.6529160787119414,-0.4006843238582703,1.3095825057909265,0.6529160787119414,-0.4006843238582703,0,0.45213007421019874,15.494032810678906,4,14.079298011386832,14.598790462470047,15.494032810678906,16.40381786493944,0.40340519234918737,48.75794855194185,0.0,0.0,0.25339699641335756,1
6.12,9.61646459976441,7.310213366254914,6.423311203323208,1.176005090200252,0.5863186386833235,-0.3598145228247268,1.176005090200252,0.5863186386833235,-0.3598145228247268,0,0.38915139375465824,15.687235734193052,4,14.28168451774008,14.749718537540675,15.687235734193052,16.538253083866188,0.33237280408534786,48.33719444515718,0.0,0.0,0.261756002146285,1
6.24,9.75758521058844,7.380571602896913,6.380133460584241,1.056052570999826,0.5265141375376242,-0.32311344149660465,1.056052570999826,0.5265141375376242,-0.32311344149660465,0,0.3365307665331719,15.845158369739,4,14.46446469728955,14.885251948954096,15.845158369739,16.655569025961668,0.2920856280193791,47.97995405264137,0.0,0.0,0.24937700072769076,1
6.359999999999999,9.884311519108419,7.443753299401427,6.341359847604648,0.948335208757844,0.4728096955087868,-0.29015587046395114,0.948335208757844,0.4728096955087868,-0.29015587046395114,0,0.31768252461767776,15.970625479292147,4,14.629437617568561,15.00696095240335,15.970625479292147,16.762068598123896,0.31377336095679553,47.77604601319017,0.0,0.0,0.26165299641434103,1
6.4799999999999995,9.99811174415936,7.500490462862482,6.306541143148975,0.8516050174645443,0.42458310656689047,-0.2605599716766284,0.8516050174645443,0.42458310656689047,-0.2605599716766284,0,0.30971025017471454,16.09989114646615,4,14.777767635207999,15.11625563750078,16.09989114646615,16.8647363790043,0.34109623890205065,47.636690367246274,0.0,0.0,0.2576379993115552,1
6.6,10.100304346255104,7.551440435650509,6.275273946547779,0.7647413056831615,0.3812756296970674,-0.23398285456561227,0.7647413056831615,0.3812756296970674,-0.23398285456561227,0,0.31158926707956736,16.22658276561922,4,14.909961636516663,15.214402264718272,16.22658276561922,16.952157909496425,0.3720088355935251,47.507388687677846,0.0,0.0,0.2617229984025471,1
6.72,10.192073302937084,7.597193511214157,6.247196003999906,1.369062712348118,0.7902444157306261,-0.62544468425639,1.369062712348118,0.7902444157306261,-0.62544468425639,0,0.31314123968442825,16.348471599715616,4,15.028671849691843,15.302537935959581,16.348471599715616,17.030662443878356,0.23816867402633368,47.97989217425334,0.0,0.0,0.2703689970076084,1
6.84,10.356360828418858,7.692022841101832,6.172142641889139,1.369062712348118,0.790244415730626,-0.6254446842563901,1.369062712348118,0.790244415730626,-0.6254446842563901,0,0.293302054012904,16.577468352212023,4,15.251567938907943,15.465875607263778,16.577468352212023,17.140081006315885,0.24405393889667565,47.90511017363774,0.0,0.0,0.25456400180701166,1
6.96,10.520648353900631,7.7868521709895075,6.0970892797783725,1.369062712348118,0.790244415730626,-0.62544468425639,1.369062712348118,0.790244415730626,-0.62544468425639,0,0.28644421482619203,16.13657457114762,4,14.826325848328054,14.963212048508947,16.13657457114762,16.589800718090792,0.2557753294482749,47.115656399098484,0.0,0.0,0.2637329962453805,1
7.08,10.684935879382405,7.881681500877183,6.022035917667606,1.369062712348118,0.7902444157306259,-0.62544468425639,1.369062712348118,0.7902444157306259,-0.62544468425639,0,0.28079711625675136,15.858941739243441,4,14.576572608265378,14.598192401650026,15.858941739243441,16.21927501178172,0.2629629024630823,46.77053420002338,0.0,0.0,0.25540299975546077,1
7.199999999999999,10.849223404864178,7.976510830764858,5.946982555556839,1.3690627123481183,0.7902444157306258,-0.62544468425639,1.3690627123481183,0.7902444157306258,-0.62544468425639,0,0.25862212031385945,17.003843697690904,4,15.819315204171888,15.683872179993246,17.003843697690904,17.2914652692653,0.23456646635850348,48.1013296400261,0.0,0.0,0.2821019952534698,1
7.319999999999999,11.013510930345952,8.071340160652532,5.871929193446072,1.3690627123481183,0.7902444157306259,-0.6254446842563899,1.3690627123481183,0.7902444157306259,-0.6254446842563899,0,0.2408431536367814,17.299824965169314,4,16.10886878071038,15.784713250077509,17.299824965169314,17.417331523647285,0.1954155910791468,48.108248478763514,0.0,0.0,0.26208700001006946,1
7.4399999999999995,11.177798455827725,8.166169490540208,5.7968758313353055,1.3690627123481185,0.7902444157306259,-0.62544468425639,1.3690627123481185,0.7902444157306259,-0.62544468425639,0,0.23849282715544506,17.42473020906486,4,16.34154777491632,15.775561829747994,17.522491240003628,17.42473020906486,0.20802142091863646,48.0953193785697,0.0,0.0,0.25484499929007143,1
7.56,11.342085981309499,8.260998820427883,5.721822469224539,1.3690627123481183,0.7902444157306258,-0.6254446842563898,1.3690627123481183,0.7902444157306258,-0.6254446842563898,0,0.27010245103292024,17.414552420789313,4,16.59777233792203,15.766390685040687,17.725678857295303,17.414552420789313,0.27985233163146483,48.15026667043113,0.0,0.0,0.26150500343646854,1
7.68,11.506373506791272,8.355828150315558,5.646769107113772,1.3690627123481183,0.7902444157306255,-0.6254446842563899,1.3690627123481183,0.7902444157306255,-0.6254446842563899,0,0.27250142293241214,17.405524496070797,4,16.783388200908153,15.762894583910185,17.86459926491707,17.405524496070797,0.18601367527331586,48.00928532976669,0.0,0.0,0.2522999930079095,1
7.8,11.670661032273046,8.450657480203233,5.571715745003005,1.3690627123481185,0.7902444157306255,-0.6254446842563898,1.38630022005695,0.7681468986944793,-0.5663672852695999,0,0.22626789502908512,17.395480486337412,4,16.92868827317574,15.76058361167807,18.0040888608847,17.395480486337412,-5.825875892817578e-11,47.552960204985425,0.0,0.0,0.40177600021706894,1
7.92,11.83701705867988,8.542835108046571,5.5037516707706535,1.368105189101401,0.7906547975576305,-0.6270192841156652,1.4206381120292222,0.6551257645667975,-0.1983879020673614,0,0.17426136367926376,17.385938157061947,4,17.10010917035451,15.756247052212109,18.17493066843274,17.385938157061947,1.0158522634196032e-10,46.99501408199233,0.0,0.0,0.392084002669435,1
8.04,12.007493632123387,8.621450199794587,5.479945122522571,1.3619990203884784,0.7922487987065316,-0.63820099452201,1.3807904424616564,0.6092210099130115,0.02134002818643388,0,0.14621120156928705,17.369509054156058,4,17.270016056981067,15.75086582743115,18.344780521378695,17.369509054156058,-9.447893509206828e-10,46.591176834263436,0.0,0.0,0.394599002902396,1
8.16,12.173188485218786,8.69455672098415,5.482505925904943,1.3532510030485965,0.793303814701958,-0.6552715317540422,1.3997093668538247,0.6053901342975875,-0.042169669056623844,0,0.15025068497452496,17.39251866562164,4,17.39251866562164,15.741014717418219,18.453671840177705,17.259078502484183,-4.2788174392516254e-10,46.42867306461637,0.0,0.0,0.483377996715717,1
8.28,12.341153609241244,8.76720353709986,5.477445565618148,1.3442253476191912,0.7950113865565928,-0.671576585404396,1.4133001778957948,0.5997028322727662,-0.08265241959025982,0,0.1493350761888983,17.522257017241017,4,17.522257017241017,15.735099556150022,18.569684834577785,17.15166240548887,-3.3689592088270714e-10,46.26677835310631,0.0,0.0,0.3716380015248433,1
8.4,12.51074963058874,8.839167876972592,5.467527275267317,1.3347096503721545,0.7972814006733018,-0.6876718093275741,1.4274959133250442,0.5963154878397303,-0.11274355786161865,0,0.14312963137903,17.653356711109026,4,17.653356711109026,15.738548696146083,18.687245893220982,17.046516991776418,-2.331717173509329e-09,46.085123900891354,0.0,0.0,1.5046390035422519,1
